Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Lauri Markkanen,CHI,68,29.7,5.5,12.7,0.434,2.1,5.9,0.362,2.1,2.4,0.843,1.2,1.5,1.2,6.3,7.5,1.2,0.6,0.6,15.2
Kris Dunn,CHI,52,29.3,5.5,12.8,0.429,0.8,2.6,0.321,1.6,2.2,0.737,2.9,3.3,0.5,3.8,4.2,6,2,0.5,13.4
Bobby Portis,CHI,73,22.5,5.2,11.1,0.471,1.1,3.1,0.359,1.6,2.1,0.769,1.4,1.8,2.2,4.6,6.8,1.7,0.7,0.3,13.2
Justin Holiday,CHI,72,31.5,4,10.9,0.371,2.2,6.2,0.359,1.9,2.3,0.823,1.3,1.9,0.4,3.6,4,2.1,1.1,0.4,12.2
Robin Lopez,CHI,64,26.4,5.3,10.1,0.53,0.1,0.2,0.286,1.1,1.4,0.756,1.7,1.7,2.1,2.4,4.5,1.9,0.2,0.8,11.8
Denzel Valentine,CHI,77,27.2,3.9,9.4,0.417,1.9,4.8,0.386,0.5,0.7,0.745,1.3,2.4,0.6,4.5,5.1,3.2,0.8,0.1,10.2
Cameron Payne,CHI,25,23.3,3.5,8.6,0.405,1.4,3.6,0.385,0.5,0.6,0.75,1.4,1.8,0.7,2,2.8,4.5,1,0.4,8.8
Jerian Grant,CHI,74,22.8,2.8,6.8,0.415,0.8,2.5,0.324,1.9,2.5,0.745,1.2,1.8,0.4,1.9,2.3,4.6,0.9,0.1,8.4
Antonio Blakeney,CHI,19,16.5,2.8,7.5,0.371,0.8,2.7,0.288,1.6,2.1,0.769,0.6,1,0.2,1.5,1.7,1.1,0.4,0.1,7.9
David Nwaba,CHI,70,23.5,2.9,6,0.478,0.3,0.7,0.346,1.9,2.9,0.655,1.1,2.3,1.3,3.4,4.7,1.5,0.8,0.4,7.9
Noah Vonleh,CHI,21,19,2.7,6.6,0.413,0.9,2.9,0.3,0.6,1.3,0.481,0.8,1.2,1.7,5.2,6.9,1,0.6,0.3,6.9
Cristiano Felicio,CHI,55,17.8,2.3,3.9,0.591,0,0,0,1,1.5,0.667,1,1.9,1.5,2.7,4.2,1,0.3,0.2,5.6
Paul Zipser,CHI,54,15.2,1.5,4.3,0.346,0.7,2,0.336,0.4,0.5,0.731,0.8,1.6,0.2,2.2,2.4,0.9,0.4,0.3,4
